;Unnamed: 0;Unnamed: 0.1;codigo_ibge;codigo;municipio;uf;codigo_uf;capital;latitude;longitude;UTI adulto I;UTI adulto II;UTI adulto III;UTI coronariana tipo II -UCO tipo II;UTI coronariana tipo III - UCO tipo III;UTI de Queimados;UTI pediátrica I;UTI pediátrica II;UTI pediátrica III;Unidade isolamento;Total
870;870;870;3550308.0;355030;São Paulo;SP;35;1.0;-23.5329;-46.6395;1406;822;1125;109;10;36;243;190;326;358;4625
712;712;712;3304557.0;330455;Rio de Janeiro;RJ;33;1.0;-22.9129;-43.2003;980;647;640;33;18;27;79;141;58;169;2792
505;505;505;3106200.0;310620;Belo Horizonte;MG;31;1.0;-19.9102;-43.9266;170;725;175;38;0;11;52;79;43;64;1357
1348;1348;1348;5300108.0;530010;Brasília;DF;53;1.0;-15.7795;-47.9297;353;418;146;34;34;14;34;106;28;85;1252
339;339;339;2611606.0;261160;Recife;PE;26;1.0;-8.046660000000001;-34.8771;224;516;133;47;0;2;25;99;23;75;1144
463;463;463;2927408.0;292740;Salvador;BA;29;1.0;-12.9718;-38.5011;9;703;173;8;21;4;0;125;12;75;1130
1162;1162;1162;4314902.0;431490;Porto Alegre;RS;43;1.0;-30.0318;-51.2065;42;117;451;0;8;4;0;35;100;118;875
1306;1306;1306;5208707.0;520870;Goiânia;GO;52;1.0;-16.6864;-49.2643;146;474;10;20;0;15;15;86;0;52;818
243;243;243;2304400.0;230440;Fortaleza;CE;23;1.0;-3.71664;-38.5423;73;386;83;18;13;0;8;89;8;49;727
921;921;921;4106902.0;410690;Curitiba;PR;41;1.0;-25.4195;-49.2646;47;256;169;0;0;5;0;7;64;68;616
33;33;33;1302603.0;130260;Manaus;AM;13;1.0;-3.1186599999999998;-60.0212;46;197;28;10;10;0;17;118;5;116;547
755;755;755;3509502.0;350950;Campinas;SP;35;0.0;-22.9053;-47.0659;130;174;79;20;0;0;19;21;36;27;506
67;67;67;1501402.0;150140;Belém;PA;15;1.0;-1.4554;-48.4898;101;215;26;10;10;0;10;45;18;71;506
1250;1250;1250;5103403.0;510340;Cuiabá;MT;51;1.0;-15.600999999999999;-56.0974;71;221;46;16;0;0;16;48;8;34;460
206;206;206;2111300.0;211130;São Luís;MA;21;1.0;-2.53874;-44.2825;113;219;25;0;0;0;0;19;30;18;424
282;282;282;2408102.0;240810;Natal;RN;24;1.0;-5.79357;-35.1986;71;196;19;7;0;0;4;38;0;26;361
298;298;298;2507507.0;250750;João Pessoa;PB;25;1.0;-7.1150899999999995;-34.8641;8;145;61;20;5;6;4;42;9;48;348
859;859;859;3547809.0;354780;Santo André;SP;35;0.0;-23.6737;-46.5432;174;113;12;0;0;0;13;17;0;14;343
908;908;908;4104204.0;410420;Campo Largo;PR;41;0.0;-25.4525;-49.528999999999996;0;266;25;10;0;0;0;25;12;0;338
1215;1215;1215;5002704.0;500270;Campo Grande;MS;50;1.0;-20.4486;-54.6295;17;115;92;23;16;0;0;22;16;8;309
697;697;697;3303302.0;330330;Niterói;RJ;33;0.0;-22.8832;-43.1034;103;81;36;20;10;0;22;10;0;26;308
861;861;861;3548708.0;354870;São Bernardo do Campo;SP;35;0.0;-23.6914;-46.5646;71;34;114;8;0;0;12;7;10;28;284
867;867;867;3549805.0;354980;São José do Rio Preto;SP;35;0.0;-20.8113;-49.3758;26;57;129;0;14;0;0;6;39;4;275
362;362;362;2800308.0;280030;Aracaju;SE;28;1.0;-10.9091;-37.0677;56;118;57;0;0;0;2;17;3;21;274
868;868;868;3549904.0;354990;São José dos Campos;SP;35;0.0;-23.1896;-45.8841;18;116;66;14;2;5;3;19;5;18;266
632;632;632;3170206.0;317020;Uberlândia;MG;31;0.0;-18.9141;-48.2749;0;140;52;15;19;2;0;9;13;13;263
680;680;680;3301009.0;330100;Campos dos Goytacazes;RJ;33;0.0;-21.7622;-41.3181;4;173;31;0;0;0;1;10;16;14;249
667;667;667;3205309.0;320530;Vitória;ES;32;1.0;-20.3155;-40.3128;25;150;0;8;0;6;28;18;0;12;247
849;849;849;3543402.0;354340;Ribeirão Preto;SP;35;0.0;-21.1699;-47.8099;43;70;42;16;0;2;18;3;23;28;245
860;860;860;3548500.0;354850;Santos;SP;35;0.0;-23.9535;-46.335;55;63;79;10;0;0;5;16;10;5;243
862;862;862;3548807.0;354880;São Caetano do Sul;SP;35;0.0;-23.6229;-46.5548;109;60;36;0;0;0;18;10;0;8;241
941;941;941;4113700.0;411370;Londrina;PR;41;0.0;-23.304000000000002;-51.1691;61;12;102;0;0;7;9;0;27;18;236
563;563;563;3136702.0;313670;Juiz de Fora;MG;31;0.0;-21.7595;-43.3398;4;156;30;20;0;0;0;18;0;4;232
353;353;353;2704302.0;270430;Maceió;AL;27;1.0;-9.665989999999999;-35.735;42;121;11;0;0;0;4;29;4;19;230
1022;1022;1022;4205407.0;420540;Florianópolis;SC;42;1.0;-27.5945;-48.5477;37;66;62;0;0;6;6;20;0;32;229
684;684;684;3301702.0;330170;Duque de Caxias;RJ;33;0.0;-22.7858;-43.3049;25;77;38;12;0;0;10;11;36;16;225
228;228;228;2211001.0;221100;Teresina;PI;22;1.0;-5.09194;-42.8034;25;96;28;0;0;0;0;32;2;37;220
876;876;876;3552205.0;355220;Sorocaba;SP;35;0.0;-23.4969;-47.4451;24;114;30;0;0;3;6;18;10;13;218
779;779;779;3518800.0;351880;Guarulhos;SP;35;0.0;-23.4538;-46.5333;55;108;0;0;0;0;7;34;0;14;218
8;8;8;1100205.0;110020;Porto Velho;RO;11;1.0;-8.760769999999999;-63.8999;26;138;0;3;0;0;3;24;0;10;204
948;948;948;4115200.0;411520;Maringá;PR;41;0.0;-23.4205;-51.9333;17;126;13;11;10;0;0;19;0;4;200
664;664;664;3205002.0;320500;Serra;ES;32;0.0;-20.121;-40.3074;0;155;0;9;0;8;0;5;0;3;180
715;715;715;3304904.0;330490;São Gonçalo;RJ;33;0.0;-22.8268;-43.0634;41;94;10;0;0;0;10;17;0;6;178
702;702;702;3303906.0;330390;Petrópolis;RJ;33;0.0;-22.52;-43.1926;25;70;62;0;0;0;2;0;3;14;176
292;292;292;2504009.0;250400;Campina Grande;PB;25;0.0;-7.22196;-35.8731;38;88;0;0;0;0;16;14;0;9;165
837;837;837;3538709.0;353870;Piracicaba;SP;35;0.0;-22.7338;-47.6476;22;41;54;20;0;0;0;5;9;12;163
727;727;727;3306305.0;330630;Volta Redonda;RJ;33;0.0;-22.5202;-44.0996;12;102;4;0;0;2;6;20;0;10;156
822;822;822;3530607.0;353060;Mogi das Cruzes;SP;35;0.0;-23.5208;-46.1854;30;48;0;10;0;0;6;37;0;19;150
1041;1041;1041;4209102.0;420910;Joinville;SC;42;0.0;-26.3045;-48.8487;28;49;19;0;0;2;5;20;0;23;146
912;912;912;4104808.0;410480;Cascavel;PR;41;0.0;-24.9573;-53.458999999999996;30;86;0;3;0;0;3;12;0;10;144
746;746;746;3506003.0;350600;Bauru;SP;35;0.0;-22.3246;-49.0871;32;68;0;9;0;4;4;20;0;5;142
175;175;175;2105302.0;210530;Imperatriz;MA;21;0.0;-5.51847;-47.4777;0;104;0;0;0;0;0;19;0;12;135
806;806;806;3525904.0;352590;Jundiaí;SP;35;0.0;-23.1852;-46.8974;0;90;4;5;5;1;0;14;7;4;130
